step,group,strategy,timeframe,win_rate_pct,total_trades,profit_factor,max_drawdown_R,net_R,avg_R,wins,losses,open
1,Individual,"sfp",1m,35.8,61320,1.77,66.84,30333.16,0.49,21932,39388,296
1,Individual,"sfp",5m,34.5,14888,1.71,62.39,6958.83,0.47,5135,9753,100
1,Individual,"sfp",15m,34.1,5236,1.61,42.59,2115.00,0.40,1784,3452,35
1,Individual,"sfp",1h,34.9,1256,1.96,44.18,786.55,0.63,438,818,12
1,Individual,"sfp",4h,31.8,277,1.98,26.44,185.57,0.67,88,189,6
1,Individual,"sfp",1d,20.0,15,0.54,11.00,-5.57,-0.37,3,12,0
1,Individual,"divergence",1m,47.4,35772,785.72,26.00,14753535.56,412.43,16971,18801,311
1,Individual,"divergence",5m,46.2,5698,901.93,17.00,2763156.69,484.93,2631,3067,52
1,Individual,"divergence",15m,42.5,1679,851.59,18.00,821674.40,489.38,713,966,22
1,Individual,"divergence",1h,42.5,327,15.30,13.00,2688.17,8.22,139,188,5
1,Individual,"divergence",4h,34.7,49,11.96,9.00,350.71,7.16,17,32,2
1,Individual,"divergence",1d,100.0,1,∞,0.00,11.25,11.25,1,0,0
1,Individual,"cvd_divergence",1m,45.3,45501,820.19,18.00,20402796.31,448.40,20595,24906,277
1,Individual,"cvd_divergence",5m,44.0,9340,701.82,15.90,3665268.26,392.43,4110,5230,78
1,Individual,"cvd_divergence",15m,42.3,3098,461.67,12.00,822759.48,265.58,1312,1786,31
1,Individual,"cvd_divergence",1h,43.2,718,21.90,9.00,8529.20,11.88,310,408,8
1,Individual,"cvd_divergence",4h,30.6,134,7.70,11.00,623.09,4.65,41,93,4
1,Individual,"cvd_divergence",1d,28.6,7,3.64,5.00,13.21,1.89,2,5,0
1,Individual,"fibonacci",1m,41.8,71696,1.75,60.27,31442.03,0.44,29977,41719,35
1,Individual,"fibonacci",5m,39.5,18877,1.53,59.17,6000.77,0.32,7461,11416,12
1,Individual,"fibonacci",15m,38.7,7095,1.48,58.05,2072.75,0.29,2743,4352,1
1,Individual,"fibonacci",1h,39.3,1774,1.43,32.90,458.61,0.26,698,1076,1
1,Individual,"fibonacci",4h,42.9,296,2.19,15.91,201.48,0.68,127,169,1
1,Individual,"fibonacci",1d,53.3,15,2.06,4.00,7.39,0.49,8,7,0
1,Individual,"market_structure",1m,86.6,1376,2.11,4.37,205.12,0.15,1192,184,0
1,Individual,"market_structure",5m,86.2,218,1.63,4.66,18.93,0.09,188,30,0
1,Individual,"market_structure",15m,89.2,65,2.14,2.20,7.99,0.12,58,7,0
1,Individual,"market_structure",1h,70.8,24,0.50,4.66,-3.52,-0.15,17,7,0
1,Individual,"market_structure",4h,66.7,6,0.36,1.72,-1.28,-0.21,4,2,0
1,Individual,"pinbar",1m,46.5,21348,1.53,75.54,6000.40,0.28,9927,11421,206
1,Individual,"pinbar",5m,43.5,4543,1.24,63.78,616.89,0.14,1977,2566,58
1,Individual,"pinbar",15m,44.2,1290,1.40,47.02,285.98,0.22,570,720,21
1,Individual,"pinbar",1h,44.5,348,1.50,29.57,96.42,0.28,155,193,5
1,Individual,"pinbar",4h,32.4,37,0.45,20.66,-13.66,-0.37,12,25,1
1,Individual,"pinbar",1d,33.3,3,1.16,2.00,0.32,0.11,1,2,0
2,Paired,"sfp+divergence",1m,43.8,8238,2.43,27.49,6607.64,0.80,3609,4629,87
2,Paired,"sfp+divergence",5m,44.3,1433,2.24,20.44,992.95,0.69,635,798,13
2,Paired,"sfp+divergence",15m,44.9,479,2.16,11.25,305.53,0.64,215,264,7
2,Paired,"sfp+divergence",1h,41.9,105,2.04,12.00,63.74,0.61,44,61,1
2,Paired,"sfp+divergence",4h,22.7,22,1.25,9.00,4.21,0.19,5,17,1
2,Paired,"sfp+cvd_divergence",1m,43.9,13879,2.28,30.21,9959.72,0.72,6086,7793,67
2,Paired,"sfp+cvd_divergence",5m,43.2,2825,2.00,19.79,1603.96,0.57,1219,1606,18
2,Paired,"sfp+cvd_divergence",15m,44.4,952,2.08,13.00,569.83,0.60,423,529,8
2,Paired,"sfp+cvd_divergence",1h,41.9,215,1.89,13.00,111.60,0.52,90,125,4
2,Paired,"sfp+cvd_divergence",4h,31.7,41,1.80,8.51,22.51,0.55,13,28,3
2,Paired,"sfp+cvd_divergence",1d,0.0,3,0.00,3.00,-3.00,-1.00,0,3,0
2,Paired,"sfp+fibonacci",1m,50.4,19194,1.30,51.81,2850.34,0.15,9672,9522,3
2,Paired,"sfp+fibonacci",5m,48.8,4506,1.43,32.60,1002.73,0.22,2197,2309,13
2,Paired,"sfp+fibonacci",15m,46.5,1754,1.34,31.23,314.25,0.18,816,938,2
2,Paired,"sfp+fibonacci",1h,47.5,396,1.29,26.17,60.39,0.15,188,208,2
2,Paired,"sfp+fibonacci",4h,55.6,54,2.46,12.29,35.05,0.65,30,24,0
2,Paired,"sfp+fibonacci",1d,25.0,8,0.18,6.00,-4.90,-0.61,2,6,0
2,Paired,"sfp+market_structure",1m,87.2,674,2.50,5.00,129.23,0.19,588,86,0
2,Paired,"sfp+market_structure",5m,88.3,111,2.10,4.73,14.35,0.13,98,13,0
2,Paired,"sfp+market_structure",15m,91.4,35,2.01,1.00,3.02,0.09,32,3,0
2,Paired,"sfp+market_structure",1h,66.7,12,0.43,2.59,-2.28,-0.19,8,4,0
2,Paired,"sfp+market_structure",4h,100.0,2,∞,0.00,0.45,0.23,2,0,0
2,Paired,"sfp+pinbar",1m,41.4,3286,1.51,47.04,976.25,0.30,1361,1925,21
2,Paired,"sfp+pinbar",5m,36.7,681,1.12,45.54,53.56,0.08,250,431,6
2,Paired,"sfp+pinbar",15m,33.0,212,0.87,33.28,-18.29,-0.09,70,142,0
2,Paired,"sfp+pinbar",1h,45.3,53,3.64,8.00,76.47,1.44,24,29,0
2,Paired,"sfp+pinbar",4h,0.0,4,0.00,4.00,-4.00,-1.00,0,4,0
2,Paired,"divergence+cvd_divergence",1m,48.4,19318,832.73,18.81,8287367.35,429.00,9354,9964,133
2,Paired,"divergence+cvd_divergence",5m,46.7,3047,975.62,13.00,1581803.79,519.13,1424,1623,26
2,Paired,"divergence+cvd_divergence",15m,42.5,898,1107.99,11.00,571208.81,636.09,382,516,11
2,Paired,"divergence+cvd_divergence",1h,44.5,173,16.78,7.00,1515.11,8.76,77,96,2
2,Paired,"divergence+cvd_divergence",4h,36.0,25,17.20,7.00,259.25,10.37,9,16,0
2,Paired,"divergence+fibonacci",1m,53.4,11977,2.04,22.60,5783.36,0.48,6392,5585,2
2,Paired,"divergence+fibonacci",5m,53.8,1933,1.96,15.91,861.88,0.45,1039,894,0
2,Paired,"divergence+fibonacci",15m,50.1,507,1.93,11.18,236.47,0.47,254,253,0
2,Paired,"divergence+fibonacci",1h,49.5,99,1.14,9.87,6.97,0.07,49,50,0
2,Paired,"divergence+fibonacci",4h,54.5,11,3.10,2.00,10.48,0.95,6,5,0
2,Paired,"divergence+fibonacci",1d,100.0,1,∞,0.00,1.03,1.03,1,0,0
2,Paired,"divergence+market_structure",1m,88.3,103,3.78,2.96,33.36,0.32,91,12,0
2,Paired,"divergence+market_structure",5m,88.9,9,2.00,1.00,1.00,0.11,8,1,0
2,Paired,"divergence+market_structure",4h,100.0,1,∞,0.00,0.15,0.15,1,0,0
2,Paired,"divergence+pinbar",1m,48.7,1094,9.90,14.89,4992.70,4.56,533,561,17
2,Paired,"divergence+pinbar",5m,52.5,204,2.97,6.74,191.45,0.94,107,97,3
2,Paired,"divergence+pinbar",15m,56.6,53,2.89,6.53,43.49,0.82,30,23,2
2,Paired,"divergence+pinbar",1h,41.7,12,1.01,2.87,0.10,0.01,5,7,0
2,Paired,"divergence+pinbar",1d,100.0,1,∞,0.00,2.32,2.32,1,0,0
2,Paired,"cvd_divergence+fibonacci",1m,51.4,14788,2.04,21.59,7480.48,0.51,7605,7183,8
2,Paired,"cvd_divergence+fibonacci",5m,52.3,2859,1.86,23.32,1169.11,0.41,1496,1363,3
2,Paired,"cvd_divergence+fibonacci",15m,51.4,925,1.91,16.67,407.42,0.44,475,450,0
2,Paired,"cvd_divergence+fibonacci",1h,49.2,185,1.52,8.95,48.70,0.26,91,94,1
2,Paired,"cvd_divergence+fibonacci",4h,44.0,25,1.96,5.00,13.50,0.54,11,14,0
2,Paired,"cvd_divergence+fibonacci",1d,33.3,3,1.06,2.00,0.12,0.04,1,2,0
2,Paired,"cvd_divergence+market_structure",1m,90.6,170,3.77,2.00,44.25,0.26,154,16,0
2,Paired,"cvd_divergence+market_structure",5m,76.5,17,0.91,2.21,-0.34,-0.02,13,4,0
2,Paired,"cvd_divergence+market_structure",15m,100.0,6,∞,0.00,0.57,0.10,6,0,0
2,Paired,"cvd_divergence+market_structure",1h,50.0,4,0.12,2.00,-1.76,-0.44,2,2,0
2,Paired,"cvd_divergence+market_structure",4h,100.0,1,∞,0.00,0.15,0.15,1,0,0
2,Paired,"cvd_divergence+pinbar",1m,48.6,1532,7.70,20.20,5282.61,3.45,744,788,8
2,Paired,"cvd_divergence+pinbar",5m,48.4,312,2.26,11.08,202.47,0.65,151,161,5
2,Paired,"cvd_divergence+pinbar",15m,47.8,69,2.69,6.00,60.69,0.88,33,36,1
2,Paired,"cvd_divergence+pinbar",1h,52.4,21,4.82,3.00,38.19,1.82,11,10,1
2,Paired,"cvd_divergence+pinbar",4h,0.0,1,0.00,1.00,-1.00,-1.00,0,1,0
2,Paired,"fibonacci+market_structure",1m,85.5,897,2.04,7.02,134.78,0.15,767,130,0
2,Paired,"fibonacci+market_structure",5m,82.8,128,1.34,5.24,7.53,0.06,106,22,0
2,Paired,"fibonacci+market_structure",15m,86.8,53,1.89,2.93,6.24,0.12,46,7,0
2,Paired,"fibonacci+market_structure",1h,66.7,12,0.40,3.17,-2.40,-0.20,8,4,0
2,Paired,"fibonacci+market_structure",4h,100.0,3,∞,0.00,0.81,0.27,3,0,0
2,Paired,"fibonacci+pinbar",1m,47.1,2874,1.35,66.30,529.29,0.18,1355,1519,1
2,Paired,"fibonacci+pinbar",5m,43.8,683,1.20,47.49,75.86,0.11,299,384,0
2,Paired,"fibonacci+pinbar",15m,43.6,195,1.33,15.97,35.80,0.18,85,110,0
2,Paired,"fibonacci+pinbar",1h,35.3,51,0.57,26.43,-14.35,-0.28,18,33,0
2,Paired,"fibonacci+pinbar",4h,37.5,8,0.34,5.00,-3.28,-0.41,3,5,0
2,Paired,"fibonacci+pinbar",1d,100.0,1,∞,0.00,1.03,1.03,1,0,0
2,Paired,"market_structure+pinbar",1m,84.4,77,1.67,3.88,8.01,0.10,65,12,0
2,Paired,"market_structure+pinbar",5m,100.0,14,∞,0.00,4.04,0.29,14,0,0
2,Paired,"market_structure+pinbar",15m,100.0,1,∞,0.00,0.10,0.10,1,0,0
2,Paired,"market_structure+pinbar",1h,0.0,1,0.00,1.00,-1.00,-1.00,0,1,0
2,Paired,"market_structure+pinbar",4h,100.0,2,∞,0.00,0.04,0.02,2,0,0
3,Filtered,"sfp | levels",1m,36.7,35039,1.75,58.85,16721.11,0.48,12854,22185,127
3,Filtered,"sfp | levels",5m,35.3,8443,1.70,57.92,3824.51,0.45,2981,5462,53
3,Filtered,"sfp | levels",15m,34.6,2924,1.58,52.55,1102.51,0.38,1013,1911,15
3,Filtered,"sfp | levels",1h,35.7,689,2.25,29.36,554.46,0.80,246,443,8
3,Filtered,"sfp | levels",4h,27.4,113,1.22,36.11,17.86,0.16,31,82,4
3,Filtered,"sfp | vwap",1m,38.6,27567,1.83,92.00,14024.60,0.51,10628,16939,44
3,Filtered,"sfp | vwap",5m,38.6,6249,1.83,45.29,3200.81,0.51,2413,3836,24
3,Filtered,"sfp | vwap",15m,43.3,1846,1.80,39.46,839.10,0.45,799,1047,8
3,Filtered,"sfp | vwap",1h,50.2,438,2.31,14.58,285.27,0.65,220,218,6
3,Filtered,"sfp | vwap",4h,38.3,154,1.66,21.84,62.65,0.41,59,95,3
3,Filtered,"sfp | vwap",1d,18.2,11,0.33,8.00,-6.05,-0.55,2,9,0
3,Filtered,"sfp | vpvr",1m,29.7,14914,1.64,81.43,6735.72,0.45,4432,10482,122
3,Filtered,"sfp | vpvr",5m,30.2,3460,1.59,61.61,1426.28,0.41,1044,2416,36
3,Filtered,"sfp | vpvr",15m,28.2,1326,1.32,98.19,307.46,0.23,374,952,13
3,Filtered,"sfp | vpvr",1h,31.1,305,1.51,38.00,106.92,0.35,95,210,2
3,Filtered,"sfp | vpvr",4h,19.3,88,0.75,30.82,-17.54,-0.20,17,71,3
3,Filtered,"divergence | levels",1m,49.0,16498,848.66,20.35,7132207.05,432.31,8084,8414,80
3,Filtered,"divergence | levels",5m,47.7,2605,734.83,11.00,999473.52,383.68,1243,1362,11
3,Filtered,"divergence | levels",15m,42.2,752,511.99,15.42,222279.37,295.58,317,435,2
3,Filtered,"divergence | levels",1h,41.5,130,10.67,10.36,734.91,5.65,54,76,3
3,Filtered,"divergence | levels",4h,25.0,12,6.34,4.00,48.10,4.01,3,9,1
3,Filtered,"divergence | vwap",1m,54.1,12494,963.91,15.00,5521345.15,441.92,6760,5734,18
3,Filtered,"divergence | vwap",5m,53.8,1718,1092.20,8.05,866414.05,504.32,924,794,6
3,Filtered,"divergence | vwap",15m,57.9,380,1158.38,7.00,185181.11,487.32,220,160,0
3,Filtered,"divergence | vwap",1h,51.5,163,15.60,8.00,1153.44,7.08,84,79,2
3,Filtered,"divergence | vwap",4h,44.4,36,17.93,8.00,338.59,9.41,16,20,1
3,Filtered,"divergence | vwap",1d,100.0,1,∞,0.00,11.25,11.25,1,0,0
3,Filtered,"divergence | vpvr",1m,39.0,8989,635.28,23.00,3477111.76,386.82,3507,5482,150
